Name,Direction,StartLine,EndLine,MaxPowerFlow,MinPowerFlow
Balkans>Eastern Europe,Bidirectional,Balkans,Eastern Europe,9900,-9900
Baltics>Scandinavia,Bidirectional,Baltics,Scandinavia,8700,-8700
Benelux>Britain,Bidirectional,Benelux,Britain,10000,-10000
Benelux>Germany,Bidirectional,Benelux,Germany,13400,-13400
Benelux>Scandinavia,Bidirectional,Benelux,Scandinavia,11400,-11400
Eastern Europe>Baltics,Bidirectional,Eastern Europe,Baltics,9000,-9000
Eastern Europe>Italy,Bidirectional,Eastern Europe,Italy,6300,-6300
Eastern Europe>Scandinavia,Bidirectional,Eastern Europe,Scandinavia,600,-600
France>Benelux,Bidirectional,France,Benelux,4600,-4600
France>Britain,Bidirectional,France,Britain,22700,-22700
France>Germany,Bidirectional,France,Germany,4900,-4900
France>Italy,Bidirectional,France,Italy,7800,-7800
France>Switzerland,Bidirectional,France,Switzerland,9500,-9500
Germany>Eastern Europe,Bidirectional,Germany,Eastern Europe,24600,-24600
Germany>Scandinavia,Bidirectional,Germany,Scandinavia,48200,-48200
Germany>Switzerland,Bidirectional,Germany,Switzerland,6000,-6000
Italy>Balkans,Bidirectional,Italy,Balkans,14600,-14600
Outside>Spain,Bidirectional,Outside,Spain,18000,0
Scandinavia>Britain,Bidirectional,Scandinavia,Britain,1400,-1400
Spain>France,Bidirectional,Spain,France,18900,-18900
Spain>Portugal,Bidirectional,Spain,Portugal,9550,-9550
Switzerland>Eastern Europe,Bidirectional,Switzerland,Eastern Europe,2400,-2400
Switzerland>Italy,Bidirectional,Switzerland,Italy,8500,-8500
Outside>Balkans,Import,Outside,Balkans,2700,0
Outside>Italy,Import,Outside,Italy,33800,0