Type,Zone,value,Profile_Timeserie
Total,Balkans,336526624.9,Profile-Balkans.csv
Total,Baltics,75325714.23,Profile-Baltics.csv
Total,Benelux,345280938.3,Profile-Benelux.csv
Total,Britain,590391161.3,Profile-Britain.csv
Total,Eastern Europe,497193352,Profile-EasternEurope.csv
Total,France,804287504.1,Profile-France.csv
Total,Germany,815155185.2,Profile-Germany.csv
Total,Italy,528235619.4,Profile-Italy.csv
Total,Portugal,86869899.94,Profile-Iberia.csv
Total,Scandinavia,424729617.6,Profile-Norway.csv
Total,Switzerland,81730778.38,Profile-Switzerland.csv
Total,Spain,609825583.7,Profile-Iberia.csv
Total,Outside,0,Profile-Iberia.csv